 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  0  120  80  0  312  3000  28571.4  2.28484e-05
  1  110  78  100  377  1285.71  42857.1  4.59231e-05
  2  20  75  57  454  3000  42857.1  7.02434e-05
  3  90  78  14  467  1285.71  0  nan
  4  110  74  0  648  1571.43  42857.1  3.03336e-05
  5  40  72  42  364  2428.57  42857.1  2.86988e-05
  6  140  70  42  300  1285.71  42857.1  2.64486e-05
  7  140  70  57  622  2142.86  0  nan
  8  70  72  57  622  1000  85714.3  2.71121e-05
  9  20  70  42  441  2142.86  0  nan
  10  70  75  42  300  1857.14  100000  2.56075e-05
  11  110  80  0  390  1571.43  57142.9  3.53893e-05
  12  20  75  100  312  1000  14285.7  3.15432e-05
  13  0  71  28  390  1571.43  57142.9  3.23317e-05
  14  110  72  42  325  2714.29  0  nan
  15  10  71  100  519  2428.57  71428.6  0.000128426
  16  80  74  71  300  1285.71  0  nan
  17  40  71  71  416  2714.29  0  nan
  18  110  71  71  506  1000  71428.6  3.30474e-05
  19  60  75  100  351  1285.71  42857.1  3.83828e-05
  20  130  78  42  506  1285.71  0  nan
  21  30  70  42  403  1857.14  85714.3  3.13446e-05
  22  140  78  100  480  1285.71  100000  6.02154e-05
  23  40  71  42  364  3000  14285.7  2.25439e-05
  24  110  74  57  351  2428.57  14285.7  2.33491e-05
  25  10  80  42  325  2428.57  42857.1  3.28917e-05
  26  40  78  0  429  1571.43  100000  4.65575e-05
  27  70  70  0  661  1857.14  100000  3.24078e-05
  28  50  80  42  351  1285.71  85714.3  3.20138e-05
  29  0  71  28  429  2428.57  28571.4  3.23317e-05
  30  100  75  71  648  1000  85714.3  5.04636e-05
  31  150  71  42  429  1000  14285.7  3.7703e-05
  32  80  80  100  351  2428.57  42857.1  4.25305e-05
  33  120  74  57  364  1571.43  100000  2.25459e-05
  34  140  80  57  609  2714.29  57142.9  5.02106e-05
  35  150  72  71  622  2428.57  28571.4  2.96225e-05
  36  30  71  14  609  2714.29  14285.7  3.01376e-05
  37  130  80  100  674  1571.43  71428.6  3.85577e-05
  38  50  71  71  377  2714.29  14285.7  2.68441e-05
  39  130  74  0  648  1285.71  71428.6  3.17914e-05
  40  0  78  71  687  1857.14  57142.9  3.23317e-05
  41  0  70  28  441  1857.14  100000  3.23317e-05
  42  120  80  14  467  2428.57  71428.6  7.98681e-05
  43  150  77  0  454  1571.43  28571.4  5.54157e-05
  44  40  71  57  635  3000  100000  3.50428e-05
  45  140  80  57  635  2142.86  85714.3  5.26066e-05

 #  1 generation.# 
